# Measurement-space curves for 1p_RHCFULL_costhpi.
# All model columns are ALREADY smeared by A_C and are directly
# comparable with unfolded_data bin by bin. Values are dsigma/dx in
# 1e-38 cm^2/(unit)/Ar; multiply by width to integrate.
bin	low	high	width	unfolded_data	stat_err	truth_smeared	tune_smeared	GENIE_smeared	GiBUU_smeared	NEUT_smeared	NuWro_smeared
0	-1	-0.1	0.9	0.0099677973	0.022338107	0.039804917	0.040457407	nan	nan	nan	nan
1	-0.1	0.35	0.45	0.21579056	0.065594354	0.15612571	0.15715646	nan	nan	nan	nan
2	0.35	0.75	0.4	0.30958747	0.10747865	0.2822496	0.27511548	nan	nan	nan	nan
3	0.75	1	0.25	0.53942317	0.23509932	0.4504882	0.47175782	nan	nan	nan	nan
