# Additional smearing matrix A_C for 1p_FHC5_pmu
# Compare a prediction p to the published result as (A_C . p), summing over
# the TRUE index. Row = smeared bin i, column = true bin j, value = A_C[i][j].
# 7 smeared bins x 7 true bins.
smeared_bin	true_1	true_2	true_3	true_4	true_5	true_6	true_7
1	0.1684360639	0.165760153	0.2432425648	0.2610833049	0.1269564949	-0.02786832515	-0.04587128555
2	0.1073038832	0.16332988	0.235876367	0.2418945846	0.1168453232	-0.004835358675	-0.03823901162
3	0.06529151951	0.1374106568	0.2158010197	0.2297887297	0.1136756963	0.01683604921	-0.03012881886
4	0.04057233874	0.1061187198	0.1629155003	0.2200992557	0.125420697	0.03536911434	-0.02138706859
5	0.02175270161	0.1125061931	0.1285970332	0.2908930625	0.2208931302	0.08416469971	-0.01385836098
6	-0.1332028806	0.0953734247	0.1295554424	0.3493753555	0.2915801471	0.230673998	0.03621111767
7	-0.05950532109	-0.222403001	-0.0782364402	-0.2385012824	0.1163805537	0.3274130253	0.6094771778
