# Additional smearing matrix A_C for 1p_COMB_Wpipr
# Compare a prediction p to the published result as (A_C . p), summing over
# the TRUE index. Row = smeared bin i, column = true bin j, value = A_C[i][j].
# 6 smeared bins x 6 true bins.
smeared_bin	true_1	true_2	true_3	true_4	true_5	true_6
1	0.3972383318	0.3111890703	0.1752803214	0.2319944054	0.1488292479	-0.02119951295
2	0.1051183031	0.1292826701	0.139377295	0.0896639484	0.03922615043	-0.006155738902
3	0.09477585973	0.1161456909	0.1406540358	0.1059230212	0.03374614567	-0.005326128085
4	0.1608771854	0.1429611444	0.1822452303	0.2307013199	0.05510798458	-0.007324027676
5	0.3367966423	0.2800695412	0.09022553265	0.1286239801	0.2293611385	-0.006861310983
6	-0.4416087046	-0.3075184822	-0.1233721673	0.1100147069	0.4517955584	0.6216295172
