# Measurement-space curves for incl_COMB_costhmu.
# All model columns are ALREADY smeared by A_C and are directly
# comparable with unfolded_data bin by bin. Values are dsigma/dx in
# 1e-38 cm^2/(unit)/Ar; multiply by width to integrate.
bin	low	high	width	unfolded_data	stat_err	truth_smeared	tune_smeared	GENIE_smeared	GiBUU_smeared	NEUT_smeared	NuWro_smeared
0	-1	0.45	1.45	0.096951113	0.04958961	0.10637616	0.090744182	0.067208016	0.091724736	0.11692173	0.11525009
1	0.45	0.65	0.2	0.39906289	0.15136586	0.41540107	0.33166715	0.24287454	0.32027269	0.46477234	0.45969852
2	0.65	0.8	0.15	0.65408962	0.25028347	0.74232531	0.52598103	0.39100081	0.55185742	0.7110144	0.67430703
3	0.8	0.9	0.1	1.2864649	0.59295537	1.3833023	1.2162188	0.88959935	1.2259137	1.6009393	1.5252481
4	0.9	1	0.1	3.0254526	1.0441244	3.2096174	2.5563772	1.8717904	2.5212709	3.5407316	3.4356222
