# Additional smearing matrix A_C for 1p_COMB_dphit2bin
# Compare a prediction p to the published result as (A_C . p), summing over
# the TRUE index. Row = smeared bin i, column = true bin j, value = A_C[i][j].
# 2 smeared bins x 2 true bins.
smeared_bin	true_1	true_2
1	0.9856408992	-0.30395303
2	0.1774307067	0.1244871123
