# Additional smearing matrix A_C for 1p_FHC5_thmupi
# Compare a prediction p to the published result as (A_C . p), summing over
# the TRUE index. Row = smeared bin i, column = true bin j, value = A_C[i][j].
# 5 smeared bins x 5 true bins.
smeared_bin	true_1	true_2	true_3	true_4	true_5
1	0.4119055329	0.02004358312	-0.01840341534	0.03875053837	0.1839679909
2	0.06014178507	0.1121736857	0.09785477299	0.1096235241	-0.0006295055791
3	0.02404743363	0.1517084474	0.2823415239	0.3657227695	-0.10424755
4	0.0719641078	-0.1038100738	0.3518937961	0.5988661461	-0.1805197608
5	0.4353673344	0.1978597683	-0.0004887133837	0.01362478069	0.2479904841
