# Measurement-space curves for 1p_COMB_Whad.
# All model columns are ALREADY smeared by A_C and are directly
# comparable with unfolded_data bin by bin. Values are dsigma/dx in
# 1e-38 cm^2/(unit)/Ar; multiply by width to integrate.
bin	low	high	width	unfolded_data	stat_err	truth_smeared	tune_smeared	GENIE_smeared	GiBUU_smeared	NEUT_smeared	NuWro_smeared
0	0	0.78	0.78	-0.11562744	0.075944185	-0.0022734094	-0.0037922185	nan	nan	nan	nan
1	0.78	1.08	0.3	0.38061641	0.25151854	0.070415073	0.064063603	nan	nan	nan	nan
2	1.08	1.21	0.13	0.57413135	0.29448619	0.62776173	0.61977239	nan	nan	nan	nan
3	1.21	1.31	0.1	0.66984705	0.40934855	0.8725374	0.86359184	nan	nan	nan	nan
4	1.31	1.44	0.13	0.78601254	0.53907102	1.0665738	1.056781	nan	nan	nan	nan
5	1.44	2.74	1.3	0.1234979	0.096579109	0.025363632	0.026215854	nan	nan	nan	nan
