# Definitive index of every released differential extraction (release 2026-09-04).
# One row per extraction; A_C / curves / cov files are all present for each. total_pct is the
# prediction-total fractional uncertainty (bin-averaged, excluding data statistics); chi2/p are the
# closure against the realised fake-data truth with the full covariance. The six one-bin totals are
# indexed separately in total_xsec.tsv.
tag	family	config	observable	bins	sigma_int	total_pct	detVar_pct	chi2	p	A_C	curves	cov_components	status
1p_COMB_thmupi	1p	COMB	thmupi	5	4.4530e-01	39.6	15.4	0.263	0.998	A_C_1p_COMB_thmupi.tsv	curves_1p_COMB_thmupi.tsv	42	secondary
1p_FHC5_Whad	1p	FHC5	Whad	6	3.8860e-01	95.7	77.4	0.878	0.990	A_C_1p_FHC5_Whad.tsv	curves_1p_FHC5_Whad.tsv	42	secondary
1p_FHC5_Wpipr	1p	FHC5	Wpipr	6	5.1050e-01	58.3	37.9	0.524	0.998	A_C_1p_FHC5_Wpipr.tsv	curves_1p_FHC5_Wpipr.tsv	42	withdrawn (differential shape; integral only)
1p_FHC5_costhmu	1p	FHC5	costhmu	5	4.4540e-01	42.2	22.4	0.978	0.964	A_C_1p_FHC5_costhmu.tsv	curves_1p_FHC5_costhmu.tsv	42	secondary
1p_FHC5_costhpi	1p	FHC5	costhpi	4	3.9350e-01	43.0	23.9	0.297	0.990	A_C_1p_FHC5_costhpi.tsv	curves_1p_FHC5_costhpi.tsv	42	secondary
1p_FHC5_dalphat2bin	1p	FHC5	dalphat2bin	2	4.8530e-01	42.5	18.3	0.018	0.991	A_C_1p_FHC5_dalphat2bin.tsv	curves_1p_FHC5_dalphat2bin.tsv	42	secondary
1p_FHC5_dphit2bin	1p	FHC5	dphit2bin	2	4.7440e-01	86.8	59.9	0.111	0.946	A_C_1p_FHC5_dphit2bin.tsv	curves_1p_FHC5_dphit2bin.tsv	42	secondary
1p_FHC5_dpt2bin	1p	FHC5	dpt2bin	2	4.6120e-01	56.5	31.4	0.008	0.996	A_C_1p_FHC5_dpt2bin.tsv	curves_1p_FHC5_dpt2bin.tsv	42	secondary
1p_FHC5_pmu	1p	FHC5	pmu	7	4.9630e-01	50.0	29.3	1.889	0.966	A_C_1p_FHC5_pmu.tsv	curves_1p_FHC5_pmu.tsv	42	secondary
1p_FHC5_pn2bin	1p	FHC5	pn2bin	2	4.8980e-01	64.6	33.5	0.060	0.971	A_C_1p_FHC5_pn2bin.tsv	curves_1p_FHC5_pn2bin.tsv	42	secondary
1p_FHC5_ppi2bin	1p	FHC5	ppi2bin	2	4.9840e-01	55.4	33.0	0.006	0.997	A_C_1p_FHC5_ppi2bin.tsv	curves_1p_FHC5_ppi2bin.tsv	42	primary (two-bin, coarse)
1p_FHC5_thmupi	1p	FHC5	thmupi	5	4.6900e-01	40.5	13.7	0.502	0.992	A_C_1p_FHC5_thmupi.tsv	curves_1p_FHC5_thmupi.tsv	42	secondary
1p_RHCFULL_Whad	1p	RHCFULL	Whad	6	3.1380e-01	88.3	73.2	0.687	0.995	A_C_1p_RHCFULL_Whad.tsv	curves_1p_RHCFULL_Whad.tsv	42	secondary
1p_RHCFULL_Wpipr	1p	RHCFULL	Wpipr	6	3.0500e-01	71.7	44.5	2.565	0.861	A_C_1p_RHCFULL_Wpipr.tsv	curves_1p_RHCFULL_Wpipr.tsv	42	withdrawn (differential shape; integral only)
1p_RHCFULL_costhmu	1p	RHCFULL	costhmu	5	3.9170e-01	71.1	57.2	0.842	0.974	A_C_1p_RHCFULL_costhmu.tsv	curves_1p_RHCFULL_costhmu.tsv	42	secondary
