# Measurement-space curves for 1p_RHCFULL_dpt2bin.
# All model columns are ALREADY smeared by A_C and are directly
# comparable with unfolded_data bin by bin. Values are dsigma/dx in
# 1e-38 cm^2/(unit)/Ar; multiply by width to integrate.
bin	low	high	width	unfolded_data	stat_err	truth_smeared	tune_smeared	GENIE_smeared	GiBUU_smeared	NEUT_smeared	NuWro_smeared
0	0	0.3	0.3	0.97648761	0.34575396	0.9583769	0.95109696	nan	nan	nan	nan
1	0.3	2.5	2.2	0.060126916	0.036803987	0.049744367	0.048553391	nan	nan	nan	nan
