# Additional smearing matrix A_C for incl_FHC5_pmu
# Compare a prediction p to the published result as (A_C . p), summing over
# the TRUE index. Row = smeared bin i, column = true bin j, value = A_C[i][j].
# 7 smeared bins x 7 true bins.
smeared_bin	true_1	true_2	true_3	true_4	true_5	true_6	true_7
1	0.1779516398	0.3044806707	0.2012837874	0.2032545127	0.1326152143	-0.08817423516	-0.02148413447
2	0.08080276893	0.3090988442	0.1922336551	0.1800303324	0.1301343197	-0.0389534462	-0.02060823288
3	0.02555764071	0.2585835075	0.1669632113	0.1664381472	0.1433374371	0.008068033436	-0.01944587797
4	0.002687716624	0.1889463591	0.08921884419	0.1756806637	0.169356441	0.05270949475	-0.01778559625
5	-0.0222658203	0.1445313534	0.007829063572	0.2380794608	0.3062508117	0.1611451763	-0.02138243502
6	-0.2596527608	0.1255650194	-0.1016356256	0.2252511485	0.4447843574	0.4727306089	-0.001692144928
7	-0.156478161	-0.3502579406	0.436879687	0.129540043	-0.03476615483	0.02639211644	0.7194195906
